curtain_id,title,image_path,contenxt,choices1,choices1_jump,choices2,choices2_jump,choices3,choices3_jump,flag
100,除夕惊魂,res://1基纳Kenner/初始关卡/1.png,"""你是一个准备考研的${Name}，被生活掏空了身体。大年三十你看河南春晚想换换口味，结果累得不到12点就睡了。午夜的鞭炮声把你炸醒，你迷蒙中看见床头坐着个身材曼妙的裸体女人，但脖子上顶着一颗硕大的**马头**。没有头套接缝，那马嘴还呼着热气。你心想：这淘宝爆款头套做得挺逼真啊？""",继续睡觉，装作无事发生,101,跳起来大喊“马年吉祥”,102,我他妈直接猝死,103,
101,世界异变,res://1基纳Kenner/初始关卡/t1.png,"""你翻身蒙头继续睡，心想这一定是梦。第二天醒来，你发现爸妈、邻居、电视里的主持人，所有人的头都变成了马头。他们嘶鸣着在这个世界行走，只有你觉得不对劲。""",去厕所洗把脸清醒一下,104,,,,,
102,妹妹的惊恐,res://1基纳Kenner/初始关卡/t2.png,"""你跳起来大喊马年吉祥。那马头人转过身，发出是你妹妹的声音，骂你有病。她没戴头套，她真的长了个马头。她惊恐地指着你的头顶大叫：“哥，你的角是怎么回事？”""",去镜子前看看我的角,104,,,,,
103,异界轮回,res://1基纳Kenner/初始关卡/t3.png,"""你当场吓得魂飞魄散，穿越到了异世界。这里有两个马头女人，都说是你的女朋友。你看着她们硕大的马脸，选择再次吓死。""",我不玩了，让我醒过来,104,,,,,
104,指鹿为马,res://1基纳Kenner/初始关卡/锦囊关卡.png,"""你冲进厕所照镜子，发现自己长着巨大的**鹿角**和鹿脸。你想起爹说过家族诅咒：一旦考研，就会陷入“指鹿为马”的悖论。全世界都成了马，而你成了唯一的鹿。好在祖宗留了三个锦囊。""",湿漉漉的袋子,105,破旧的袋子,106,闪发亮的袋子,107,
105,手动挡之殇,res://1基纳Kenner/初始关卡/桑塔纳2000.jpg,"""袋子里是一辆桑塔纳2000，万车之王。但这车是手动挡，而你现在的鹿蹄子根本踩不住离合器，这破车对你毫无卵用。""",把车钥匙扔了,108,,,,,锦囊1
106,暴力美学,res://1基纳Kenner/初始关卡/FFV-013.jpeg,"""太好了！是FFV-013反器材定向破片地雷。只要把所有看见你是鹿的马头人都炸飞，就没有人知道你是鹿了。""",把它收好备用,108,,,,,锦囊2
107,无效回忆,res://1基纳Kenner/初始关卡/回忆.jpg,"""袋子里是一段童年回忆，关于落叶堆里的5块钱，关于袖子里藏着的耳机。那时候大家还是人，而不是马。回忆像二手烟一样消散了，没卵用。""",叹一口气,108,,,,,锦囊3
108,虚假的自由,res://1基纳Kenner/初始关卡/1.png,"""你做出了选择，但屁用没有。这就是人生，在这个全是马的世界里，身为一只鹿，你摸索着口袋，想找点慰藉。""",吃点口袋里的“零食”,109,摸摸背后的纹身,110,拆开大爷给的信,111,
109,食草本能,,"""你掏出一把不知何时在兜里的鲜嫩鹿草（那是你的本能），嚼了几口，那是属于食草动物的芬芳。然后你中毒晕了过去，被拖走了。""",......(失去意识),112,,,,,
